case_name,state,date_filed,issue,status,link
"Ward v. Jackson, No. CV-20-0343-AP/EL (Ariz. Sup. Ct.)",Arizona,12/04/2020,12/11/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=408
"Trump v. Biden, No. 2020CV007092 (Wis. Super. Ct., Milwaukee Cnty.)",Wisconsin,12/03/2020,"Trump v. Biden, No. 2020CV007092 (Wis. Super. Ct., Milwaukee Cnty.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=418
"Kelly v. Pennsylvania, No. 20A98 / 20-810 (Sup. Ct.)",Pennsylvania,12/03/2020,"Appellants seek review of Judge Russell's Dec. 9 superior court order, on the grounds that she is purportedly not qualified as the type of judge the Election Code requires to preside over election contests. Appellants argue that only the Georgia Supreme Court can provide the relief sought prior to the Electoral College meets.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=392
"Trump v. Wisconsin Elections Commissions, No. 2:20-cv-01785 (E.D. Wis.)",Wisconsin,12/02/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=406
"Trump v. Wisconsin Elections Commissions, No. 2:20-cv-01785 (E.D. Wis.)",Wisconsin,12/02/2020,"Plaintiff, Donald Trump, alleges that defendants, local government officials in Wisconsin, undermined the election. Specifically, plaintiff alleges that defendants ignored limits on the availability of mail-in balloting, created ballot dropboxes, did not provide adequate access to poll observers, ""eliminated state laws requiring that voters provide information on the mail-in ballot envelope,"" and permitted election workers to alter ballots. Plaintiff claims that the alleged conduct violates both the Elections and Electors Clauses. As remedy, plaintiff requests that the result of the Wisconsin election be remanded to the Wisconsin state legislature.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=406
"Bowyer v. Ducey, No.  2:20-cv-02321-DJH (D. Ariz.)",Arizona,12/02/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=409
"Feehan v. Wisconsin Elections Commission, No. 2:20-cv-1771 (E.D. Wis.)",Wisconsin,12/01/2020,12/02/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=407
"Trump v. Evers, No. 2020AP1971-OA (Wis. Sup. Ct.)",Wisconsin,12/01/2020,"Trump v. Wisconsin Elections Commissions, No. 20-3414  (7th Cir.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=412
"Rodriguez v. Simon, No. 62-CV-20-5601 (Ramsey Cty.)",Minnesota,12/01/2020,"Plaintiffs, Arizona voters and one candidate for Republican Arizona presidential elector, bring suit against Arizona state officials including the governor and secretary of state. Plaintiffs allege that poll watchers failed to adequately verify signatures on ballots, that Maricopa County ballot dispute referees were partisan, that Dominion backups had no chain of custody, and the Dominion machines themselves suffered from errors during state evaluations. Plaintiffs claim that defendants' actions violate the Elections and Electors Clauses, and seek de-certification of Arizona results or that Arizona certify Trump electors.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=425
"Braun v. Simon, No. 62-CV-20-5602 (Ramsey Cty.)",Minnesota,12/01/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=426
"Peterson v. Simon, No. 62-CV-20-5600 (Ramsey Cty.)",Minnesota,12/01/2020,12/02/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=427
"Quist v. Simon, No. 62-CV-20-5598 (Ramsey Cty.)",Minnesota,12/01/2020,"Plaintiff, a Republican presidential elector for the state of Wisconsin, alleged that the Wisconsin Elections Commission violated the Election Code. Plaintiff alleged that defendant used the Dominion voting system; directed clerks not to remove individuals from the list of those who registered as confined to home; permitted ballot certificates without addresses; and, on October 19, directed clerks to fill in missing ballot information. Plaintiff asserted that defendant's actions violated the Elections and Electors Clauses, and that the election results must either be de-certified or certified for Trump.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=428
"Jensen v. Simon, No. 62-CV-20-5599 (Ramsey Cty.)",Minnesota,12/01/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=448
"Boland v. Raffensperger, No. 2020CV343018 (Ga. Ct., Fulton Cty.)",Georgia,11/30/2020,12/01/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=403
"Ward v. Jackson, No. CV2020-015285 (Ariz. Super. Ct., Maricopa Cnty.)",Arizona,11/30/2020,"In re William Feehan, No. 20-859 (S. Ct.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=408
"Hahn v. Simon, No. 14-CV-20-4033 (Clay Cty.)",Minnesota,11/30/2020,"Petitioners, President Trump and Vice President Pence, seek to void Wisconsin's election certification. Petitioners ask the court to reject early in-person absentee votes in Milwaukee and Dane counties, where the ballot envelope contains a voter certification and application. Petitioners also allege violations of the election code with respect to ""indefinitely confined"" voters having different ID requirements, election workers allegedly filling in missing voter information, and pre-Election Day ""Democracy in the Park"" initiatives.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=424
"Donald J. Trump for President v. Benson, No. 355378 (Mich. Ct. Appeals)",Michigan,11/30/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=338
"Mueller v. Jacobs, No. 2020AP1958-OA (Wis. Sup. Ct.)",Wisconsin,11/27/2020,12/01/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=405
"Kistner v. Simon, No. 19AV-CV-20-2183 (Dakota Cty.)",Minnesota,11/27/2020,"Election contest under Minn. Stat. §209. Contestants, Minnesota voters, challenged the results of Minnesota's general election. They argued that the Secretary of State's suspension of Minnesota's witness requirement for absentee ballots violated the Equal Protection Clause since it meant the ballots were ""processed differently."" They further argued that the agreement to suspend the witness requirement was a violation of the state separation of powers. Finally, contestants claimed that Minnesota violated election law in its post-election review process. Contestants sought the guarding and inspection of all absentee ballots and related election materials.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=447
"Johnson v. Benson, No. 162286 (Mich. Sup. Ct.)",Michigan,11/26/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=411
"Kelly v. Pennsylvania, No. No. 68 MAP 2020 (Penn. Sup. Ct.)",Pennsylvania,11/25/2020,12/01/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=392
"Pearson v. Kemp, No.  1:20-cv-04809-TCB (N.D. Ga.)",Georgia,11/25/2020,"Election contest under Minn. Stat. §209. Contestants, Minnesota voters, challenged the results of Minnesota's general election. They argued that the Secretary of State's suspension of Minnesota's witness requirement for absentee ballots violated the Equal Protection Clause since it meant the ballots were ""processed differently."" They further argued that the agreement to suspend the witness requirement was a violation of the state separation of powers. Finally, contestants claimed that Minnesota violated election law in its post-election review process. Contestants sought the guarding and inspection of all absentee ballots and related election materials.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=401
"King v. Whitmer, No. 2:20-cv-13134-LVP-RSW (E.D. Mich.)",Michigan,11/25/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=410
"Wood v. Raffensperger, No. 2020CV342959 (Ga. Super. Ct., Fulton Cnty.)",Georgia,11/25/2020,12/01/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=417
"Lin Wood v. Raffensperger, No. 20-14418 (11th Cir.)",Georgia,11/24/2020,"Election contest under Minn. Stat. §209. Contestants, Minnesota voters, challenged the results of Minnesota's general election. They argued that the Secretary of State's suspension of Minnesota's witness requirement for absentee ballots violated the Equal Protection Clause since it meant the ballots were ""processed differently."" They further argued that the agreement to suspend the witness requirement was a violation of the state separation of powers. Finally, contestants claimed that Minnesota violated election law in its post-election review process. Contestants sought the guarding and inspection of all absentee ballots and related election materials.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=377
"Kistner v. Simon, No. A20-1486 (Minn. Sup. Ct.)",Minnesota,11/24/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=415
"Wisconsin Voters Alliance vs. Wisconsin Election Commissions, No. 2020AP1930-OA (Wis. Sup. Ct.)",Wisconsin,11/23/2020,12/01/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=393
"Donald J. Trump for Pres., Inc. v. Boockvar, No. 20-3371 (3rd Cir.)",Pennsylvania,11/23/2020,"Election contest under Minn. Stat. §209. Contestants, Minnesota voters, challenged the results of Minnesota's general election. They argued that the Secretary of State's suspension of Minnesota's witness requirement for absentee ballots violated the Equal Protection Clause since it meant the ballots were ""processed differently."" They further argued that the agreement to suspend the witness requirement was a violation of the state separation of powers. Finally, contestants claimed that Minnesota violated election law in its post-election review process. Contestants sought the guarding and inspection of all absentee ballots and related election materials.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=368
"Bailey v. Antrim County, 2020009238CZ (Mich. Cir. Ct., Antrim Cnty.)",Michigan,11/23/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=450
"Bailey v. Antrim County, 2020009238CZ (Mich. Cir. Ct., Antrim Cnty.)",Michigan,11/23/2020,"Plaintiff, an individual voter, alleges potential malfunctions of Dominion software. Plaintiff brings suit on Michigan constitutional grounds as well as the fraud provisions of the state election code. Plaintiff requests an audit and that he may take ""forensic images"" of the Antrim county tabulators.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=450
"Kelly v. Pennsylvania, No. 620 MD 2020",Pennsylvania,11/21/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=392
"In re: Canvass Of Absentee And/Or Mail-In Ballots Of November 3, 2020 General Election (Donald J. Trump for President Inc. v. Bucks County Board of Elections), No. 676 MAL 2020 (No. 174 MM 2020)",Pennsylvania,11/21/2020,12/04/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=369
"In re: Allegheny County Provisional Ballots in the 2020 General Election, No. 338 WAL 2020",Pennsylvania,11/21/2020,"Plaintiffs, Republican representatives to state congress, sought to declare Act 77, a Pennsylvania  statute from 2019 that contains a no-excuse mail-in voting provision,  unconstitutional. Plaintiffs requested an injunction against certifying the state's election results.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=385
"Ziccarelli v. Allegheny County Board of Elections, No. 29 WAP 2020",Pennsylvania,11/20/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=378
"In re: Canvass of Absentee and/or Mail-in Ballots of November 3, 2020 General Election, No. 1191 C.D. 2020",Pennsylvania,11/20/2020,11/21/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=369
"Michigan Welfare Rights Organization v. Trump, No. 1:20-cv-03388 (D.D.C.)",District Columbia,11/20/2020,"Kelly v. Pennsylvania, No. No. 68 MAP 2020 (Penn. Sup. Ct.)",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=404
"Bognet v. Boockvar, No. 20-3214",Michigan,11/20/2020,"Prior to the Commonwealth Court's order, the DNC and the Bucks County Board of Elections applied to the Supreme Court.",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=316
"Rodimer v. Gloria, No. A-20-825130-W (Nev. Dist. Ct., Clark Cty.)",Nevada,11/19/2020,,Active,https://healthyelections-case-tracker.stanford.edu/detail?id=390
"Ziccarelli v. Allegheny County Board of Elections, No. 1161 CD 2020 (Penn. Commonw. Ct.)",Pennsylvania,11/19/2020,11/21/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=385
"Ziccarelli v. Allegheny County Board of Elections, No. 1162 CD 2020 (Penn. Commonw. Ct.)",Pennsylvania,11/19/2020,"Donald J. Trump for President Inc. v. Bucks County Bd. of Elections, No. 20-05786-35 (Penn. Ct. Common Pleas, Bucks Cnty.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=378
"Becker v. Cannizzaro, No. A-20-825067-P (Nev. Dist. Ct., Clark Cty.)",Nevada,11/18/2020,Appeal from the Commonwealth Court.,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=389
"Ziccarelli v. Westmoreland County Board of Elections, No. 4152 (Penn. Ct. Common Pleas, Westmoreland Cnty.)",Pennsylvania,11/18/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=391
"In re: Canvass of Absentee and Mail-In Ballots of November 3, 2020 General Election, No. 31 EAP 2020",Pennsylvania,11/18/2020,11/21/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=379
"In re: Canvass of Absentee and Mail-In Ballots of November 3, 2020 General Election, No. 32 EAP 2020",Pennsylvania,11/18/2020,"Ziccarelli v. Allegheny County Board of Elections, No. GD-20-011793",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=380
"In re: Canvass of Absentee and Mail-In Ballots of November 3, 2020 General Election, No. 33 EAP 2020",Pennsylvania,11/18/2020,"The Pennsylvania Supreme Court consolidated this case with five cases appealed by the Trump campaign, and issued a single opinion on them. The court considered whether the Election Code requires a county board of elections to disqualify mail-in or absentee ballots submitted by qualified electors who signed the declaration on their ballot’s outer envelope but did not handwrite their name, their address, and/or a date, where no fraud or irregularity has been alleged.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=381
"In re: Canvass of Absentee and Mail-In Ballots of November 3, 2020 General Election, No. 34 EAP 2020",Pennsylvania,11/18/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=382
"In re: Canvass of Absentee and Mail-In Ballots of November 3, 2020 General Election, No. 35 EAP 2020",Pennsylvania,11/18/2020,11/23/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=383
"Law v. Whitmer, No. 10 OC 00163 1B (Nev. Dist. Ct., Carson City)",Nevada,11/17/2020,"Ziccarelli v. Allegheny County Board of Elections, No. GD-20-11654",Active,https://healthyelections-case-tracker.stanford.edu/detail?id=387
"Costantino v. Detroit, No. 162245",Pennsylvania,11/17/2020,"Appeal from the lower court's decision to uphold the Board of Election's decision to count the contested ballots. Appellant argues the Bucks County Board violated the Election Code when it did not reject and, over objection, accepted 2,177 ballots.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=367
"Ziccarelli v. Allegheny County Board of Elections, No. GD-20-011793",Pennsylvania,11/16/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=385
"Marchant v. Gloria, No.  A-20-824884-W (Nev. Dist. Ct., Clark Cty.)",Nevada,11/16/2020,11/19/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=386
"Becker v. Gloria, No. A-20-824878-W (Nev. Dist. Ct., Clark Cty.)",Nevada,11/16/2020,"Donald J. Trump for President Inc. v. Bucks County Bd. of Elections, No. 20-05786-35 (Penn. Ct. Common Pleas, Bucks Cnty.)",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=388
"Costantino v. Detroit, No. 355443",Pennsylvania,11/16/2020,"Plaintiffs, Detroit voters and a state chapter of a union that advocates for low-income people, allege that defendant, the Trump campaign, in its pressure on state and local officials to not certify election results, is attempting to disenfranchise Black voters in violation of the Voting Rights Act.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=367
"Johnson v. Benson, No.  1:20-cv-01098 (W.D. Mich.)",Michigan,11/15/2020,,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=384
"Lin Wood v. Raffensperger, No. 1:20-cv-04651-SDG (N.D. Ga.)",Georgia,11/13/2020,11/20/2020: ,Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=377
"Lin Wood v. Raffensperger, No. 1:20-cv-04651-SDG (N.D. Ga.)",Georgia,11/13/2020,"Plaintiff, a Georgia voter, alleged that defendant, the Secretary of State, violated the Elections Clause by entering into the litigation settlement in Georgia Democratic Party v. Raffensperger in March. Plaintiff alleged that the Secretary of State changed the manner of handling absentee ballots to a form inconsistent with state law. On a variation of this argument, plaintiffs further alleged that the ""disparate"" treatment of absentee ballots by county boards as compared to the process laid out by the Georgia legislature is an equal protection violation. Plaintiff sought an injunction against certifying the general election results in Georgia.",Closed,https://healthyelections-case-tracker.stanford.edu/detail?id=377
